"Amount","Date","Category","Subcategory","Recurring","Fun"
"10.00","7/3/2025","Investments",,"False","no"
"181.28","7/4/2025","Food","Grocery","False","no"
"29.50","7/5/2025","Food","Culver's","False","no"
"12.10","7/7/2025","Food","Work Lunch","False","no"
"25.47","7/7/2025","Miscellaneous",,"False","no"
"30.00","7/8/2025","Investments",,"False","no"
"11.34","7/8/2025","Food","Work Lunch","False","no"
"9.07","7/11/2025","Food","Taco Bell","False","no"
"28.62","7/11/2025","Food","Culver's","False","no"
"28.52","7/12/2025","Food","Other","False","no"
"20.00","7/12/2025","Miscellaneous",,"False","no"
"42.92","7/13/2025","Dates",,"False","no"
"2.60","7/14/2025","Food","Soda pop","False","no"
"34.00","7/14/2025","Miscellaneous",,"False","no"
"10.31","7/15/2025","Food","Work Lunch","False","no"
"3.33","7/15/2025","Food","Grocery","False","no"
"2.60","7/16/2025","Food","Soda pop","False","no"
"11.83","7/17/2025","Food","Work Lunch","False","no"
"25.04","7/18/2025","Subscriptions",,"False","no"
"24.51","7/20/2025","Food","Culver's","False","no"
"10.58","7/21/2025","Food","Work Lunch","False","no"
"45.42","7/21/2025","Pet",,"False","no"
"60.00","7/22/2025","Investments",,"False","no"
"2.60","7/24/2025","Food","Soda pop","False","no"
"45.54","7/24/2025","Car","Gas","False","no"
"55.32","7/24/2025","Food","Grocery","False","no"
"5.20","7/25/2025","Food","Soda pop","False","no"
"16.00","7/26/2025","Miscellaneous",,"False","no"
"1,370.00","7/27/2025","Home","Rent","False","no"
"11.83","7/29/2025","Food","Work Lunch","False","no"
"48.00","7/30/2025","Dates",,"False","no"
"14.98","7/31/2025","Food","Work Lunch","False","no"
"169.92","7/31/2025","Food","Grocery","False","no"
"300.00","8/1/2025","Investments",,"False","no"
"3.60","8/2/2025","Miscellaneous",,"False","no"
"11.83","8/4/2025","Food","Work Lunch","False","no"
"2.60","8/4/2025","Food","Soda pop","False","no"
"42.50","8/5/2025","Miscellaneous",,"False","no"
"11.83","8/6/2025","Food","Work Lunch","False","no"
"10.35","8/8/2025","Food","Other","False","no"
"31.76","8/8/2025","Food","Culver's","False","no"
"92.63","8/12/2025","Food","Grocery","False","no"
"2.60","8/14/2025","Food","Soda pop","False","no"
"140.67","8/15/2025","Miscellaneous",,"False","no"
"24.32","8/16/2025","Food","Culver's","False","no"
"28.55","8/17/2025","Food","Grocery","False","no"
"20.65","8/17/2025","Food","Panda","False","no"
"17.72","8/18/2025","Food","Grocery","False","no"
"2.40","8/18/2025","Miscellaneous",,"False","no"
"630.93","8/18/2025","Pet",,"False","no"
"2.60","8/19/2025","Food","Soda pop","False","no"
"7.22","8/20/2025","Food","Work Lunch","False","no"
"10.63","8/20/2025","Food","Culver's","False","no"
"12.91","8/21/2025","Food","Work Lunch","False","no"
"2.60","8/21/2025","Food","Soda pop","False","no"
"28.62","8/22/2025","Food","Culver's","False","no"
"177.24","8/23/2025","Food","Grocery","False","no"
"2.77","8/26/2025","Food","Work Lunch","False","no"
"2.60","8/27/2025","Food","Soda pop","False","no"
"5.13","8/27/2025","Food","Grocery","False","no"
"2.60","8/29/2025","Food","Soda pop","False","no"
"12.00","8/29/2025","Food","Other","False","no"
"2,098.00","8/29/2025","Debt Payments",,"False","no"
"2.60","9/2/2025","Food","Soda pop","False","no"
"11.83","9/3/2025","Food","Work Lunch","False","no"
"7.00","9/3/2025","Miscellaneous","Website","True","no"
"20.65","9/4/2025","Food","Panda","False","no"
"54.49","9/4/2025","Car","Gas","False","no"
"36.03","9/7/2025","Food","Culver's","False","no"
"6.43","9/8/2025","Food","Grocery","False","no"
"2.60","9/9/2025","Food","Soda pop","False","no"
"12.67","9/10/2025","Food","Work Lunch","False","no"
"33.76","9/11/2025","Food","Grocery","False","no"
"10.19","9/15/2025","Food","Culver's","False","no"
"15.55","9/15/2025","Food","Other","False","no"
"30.29","9/15/2025","Miscellaneous","Household Items","False","no"
"261.35","9/16/2025","Miscellaneous","Vacation","False","no"
"7.33","9/16/2025","Food","Work Lunch","False","no"
"11.86","9/17/2025","Food","Work Lunch","False","no"
"24.84","9/22/2025","Food","Culver's","False","no"
"99.10","9/22/2025","Miscellaneous","Electric Bill","False","no"
"14.64","9/22/2025","Food","Grocery","False","no"
"11.83","9/22/2025","Food","Work Lunch","False","no"
"11.83","9/25/2025","Food","Work Lunch","False","no"
"151.54","9/25/2025","Food","Grocery","False","no"
"1,370.00","9/30/2025","Home","Rent","False","no"
"36.81","9/30/2025","Food","Culver's","False","no"
"14.63","9/30/2025","Food","Work Lunch","False","no"
"11.83","9/30/2025","Food","Work Lunch","False","no"
"3.80","10/1/2025","Miscellaneous","Tolls","False","no"
"7.00","10/3/2025","Miscellaneous","Website","True","no"
"2.60","10/3/2025","Food","Soda pop","False","no"
"42.50","10/3/2025","Subscriptions","Phone Bill","False","no"
"24.84","10/3/2025","Food","Culver's","False","no"
"31.04","10/4/2025","Food","Other","False","no"
"120.83","10/5/2025","Food","Grocery","False","no"
"70.00","10/7/2025","Dates","Dinner","False","no"
"2.60","10/7/2025","Food","Soda pop","False","no"
"10.64","10/8/2025","Food","Work Lunch","False","no"
"11.97","10/9/2025","Food","Culver's","False","no"
"105.40","10/14/2025","Food","Grocery","False","no"
"32.93","10/14/2025","Food","Culver's","False","no"
"2.60","10/14/2025","Food","Grocery","False","no"
"22.00","10/14/2025","Food","Other","False","no"
"287.78","10/14/2025","Miscellaneous","Vacation","False","no"
"151.54","10/14/2025","Food","Grocery","False","no"
"338.82","10/14/2025","Car","Insurance","False","no"
"80.00","10/14/2025","Miscellaneous","Clothes","False","no"
"3.10","10/14/2025","Food","Soda pop","False","no"
"11.83","10/15/2025","Food","Work Lunch","False","no"
"10.31","10/24/2025","Food","Work Lunch","False","no"
"4.23","10/24/2025","Food","Grocery","False","no"
"25.04","10/24/2025","Subscriptions","Gym","True","no"
"30.61","10/24/2025","Food","Culver's","False","no"
"1.90","10/24/2025","Miscellaneous","Tolls","False","no"
"10.90","10/24/2025","Miscellaneous","Clothes","False","no"
"10.89","10/24/2025","Miscellaneous",,"False","no"
"12.42","10/24/2025","Food","Grocery","False","no"
"44.51","10/24/2025","Food","Grocery","False","no"
"2.82","10/24/2025","Food","Soda pop","False","no"
"10.31","10/24/2025","Food","Work Lunch","False","no"
"1.90","10/24/2025","Miscellaneous","Tolls","False","no"
"24.84","10/24/2025","Food","Culver's","False","no"
"149.18","10/24/2025","Food","Grocery","False","no"
"53.82","10/24/2025","Miscellaneous","Household Items","False","no"
"19.90","10/27/2025","Miscellaneous","Household Items","False","no"
"76.26","10/27/2025","Miscellaneous","Household Items","False","no"
"2.60","10/28/2025","Food","Soda pop","False","no"
"18.05","10/28/2025","Food","Grocery","False","no"
"2,000.00","10/28/2025","Debt Payments",,"False","no"
"11.83","10/30/2025","Food","Work Lunch","False","no"
"35.03","11/1/2025","Food","Culver's","False","no"
"42.50","11/2/2025","Subscriptions","Phone Bill","True","no"
"11.83","11/3/2025","Food","Work Lunch","False","no"
"12.03","11/3/2025","Dates","Treat","False","no"
"7.00","11/4/2025","Subscriptions","Website","False","no"
"65.31","11/5/2025","Food","Grocery","False","no"
"2.71","11/6/2025","Food","Soda pop","False","no"
"314.43","11/6/2025","Pet","Resort","False","no"
"31.63","11/7/2025","Food","Culver's","False","no"
"102.99","11/9/2025","Food","Grocery","False","no"
"209.35","11/11/2025","Miscellaneous","Household Items","False","no"
"11.83","11/12/2025","Food","Work Lunch","False","no"
"92.67","11/12/2025","Car","Oil Change","False","no"
"11.23","11/17/2025","Food","Work Lunch","False","no"
"25.04","11/17/2025","Subscriptions","Gym","True","no"
"30.00","11/17/2025","Dates",,"False","no"
"79.41","11/17/2025","Food","Grocery","False","no"
"47.67","11/17/2025","Food","Grocery","False","no"
"37.25","11/17/2025","Food","Culver's","False","no"
"2.71","11/17/2025","Food","Soda pop","False","no"
"5.48","11/17/2025","Food","Work Lunch","False","no"
"8.13","11/23/2025","Food","Soda pop","False","no"
"59.88","11/23/2025","Miscellaneous","Gift","False","no"
"31.06","11/23/2025","Food","Culver's","False","no"
"1.94","11/23/2025","Subscriptions","Paramount","False","no"
"54.18","11/23/2025","Food","Grocery","False","no"
"10.00","11/23/2025","Miscellaneous",,"False","no"
"82.06","11/23/2025","Dates","Friends","False","no"
"11.83","11/24/2025","Food","Work Lunch","False","no"
"2.71","11/25/2025","Food","Soda pop","False","no"
"20.87","11/25/2025","Food","Panda","False","no"
"13.10","11/26/2025","Food","Other","False","no"
"20.00","11/27/2025","Food","Other","False","no"
"1,370.00","11/27/2025","Home","Rent","False","no"
"21.20","11/27/2025","Food","Other","False","no"
"13.10","11/27/2025","Food","Other","False","no"
"1,522.03","11/27/2025","Debt Payments",,"False","no"
"500.00","11/27/2025","Investments",,"False","no"
"11.27","11/30/2025","Food","Other","False","no"
"12.99","11/30/2025","Subscriptions","Paramount","True","no"
"29.16","11/30/2025","Food","Other","False","no"
"42.50","12/4/2025","Subscriptions","Phone Bill","False","no"
"7.00","12/4/2025","Subscriptions","Website","False","no"
"1.90","12/4/2025","Miscellaneous","Tolls","False","no"
"11.83","12/4/2025","Food","Work Lunch","False","no"
"274.53","12/4/2025","Miscellaneous","Gift","False","no"
"36.49","12/9/2025","Miscellaneous","Clothes","False","no"
"2.71","12/9/2025","Food","Soda pop","False","no"
"57.64","12/9/2025","Miscellaneous","Gift","False","no"
"171.78","12/9/2025","Food","Grocery","False","no"
"20.00","12/9/2025","Subscriptions","AI","False","no"
"10.31","12/10/2025","Food","Work Lunch","False","no"
"2.71","12/10/2025","Food","Soda pop","False","no"
"31.06","12/11/2025","Food","Culver's","False","no"
"60.60","12/13/2025","Food","Grocery","False","no"
"2.71","12/13/2025","Food","Soda pop","False","no"
"12.92","12/13/2025","Food","Work Lunch","False","no"
"25.97","12/15/2025","Food","Grocery","False","no"
"11.23","12/15/2025","Food","Work Lunch","False","no"
"11.83","12/16/2025","Food","Work Lunch","False","no"
"2.71","12/21/2025","Food","Work Lunch","False","no"
"2.77","12/21/2025","Food","Soda pop","False","no"
"25.04","12/21/2025","Subscriptions","Gym","False","no"
"7.49","12/21/2025","Subscriptions","Amazon Prime","False","no"
"33.03","12/21/2025","Food","Culver's","False","no"
"42.00","12/21/2025","Miscellaneous","Barber","False","no"
"108.00","12/21/2025","Food","Grocery","False","no"
"30.52","12/21/2025","Miscellaneous",,"False","no"
"25.95","12/21/2025","Food","Culver's","False","no"
"35.32","12/21/2025","Food","Grocery","False","no"
"59.08","12/26/2025","Food","Grocery","False","no"
"19.62","12/26/2025","Miscellaneous","Household Items","False","no"
"496.62","12/26/2025","Miscellaneous","Vacation","False","no"
"147.69","12/26/2025","Miscellaneous","Gift","False","no"
"1,297.00","12/26/2025","Debt Payments",,"False","no"
"720.00","12/26/2025","Investments",,"False","no"
"8.38","12/29/2025","Miscellaneous",,"False","no"
"16.77","12/30/2025","Miscellaneous",,"False","no"
"12.99","12/30/2025","Subscriptions","Paramount","False","no"
"42.50","1/6/2026","Miscellaneous","Household Items","False","no"
"178.00","1/6/2026","Miscellaneous","Household Items","False","no"
"42.50","1/6/2026","Subscriptions","Phone Bill","False","no"
"1.90","1/6/2026","Miscellaneous","Tolls","False","no"
"7.00","1/6/2026","Subscriptions","Website","False","no"
"9.24","1/6/2026","Food","Other","False","no"
"20.87","1/6/2026","Food","Panda","False","no"
"54.74","1/6/2026","Miscellaneous","Household Items","False","no"
"134.22","1/6/2026","Miscellaneous","Household Items","False","no"
"27.00","1/6/2026","Subscriptions","Gym","False","no"
"34.10","1/6/2026","Food","Grocery","False","no"
"206.92","1/6/2026","Food","Grocery","False","no"
"54.47","1/6/2026","Miscellaneous","Household Items","False","no"
"103.55","1/6/2026","Miscellaneous","Clothes","False","no"
"32.81","1/10/2026","Food","Culver's","False","no"
"62.24","1/11/2026","Food","Grocery","False","no"
"12.04","1/12/2026","Food","Work Lunch","False","no"
"29.41","1/13/2026","Food","Grocery","False","no"
"207.15","1/19/2026","Food","Grocery","False","no"
"48.31","1/19/2026","Miscellaneous",,"False","no"
"29.41","1/19/2026","Food","Grocery","False","no"
"2.21","1/19/2026","Food","Soda pop","False","no"
"202.50","1/19/2026","Miscellaneous","Church","False","no"
"5.86","1/19/2026","Food","Soda pop","False","no"
"28.80","1/19/2026","Food","Other","False","no"
"18.84","1/19/2026","Food","Other","False","no"
"24.87","1/19/2026","Food","Grocery","False","no"
"5,095.00","1/19/2026","Investments","401k","False","no"
"11.12","1/20/2026","Food","Work Lunch","False","no"
"2.93","1/22/2026","Food","Soda pop","False","no"
"16.65","1/22/2026","Food","Other","False","no"
"31.06","1/23/2026","Food","Culver's","False","no"
"2.10","1/24/2026","Food","Soda pop","False","no"
"55.50","1/26/2026","Pet","Veterinarian","False","no"
"3,120.00","1/26/2026","Debt Payments",,"False","no"
"38.55","1/26/2026","Food","Grocery","False","no"
"12.75","1/26/2026","Food","Work Lunch","False","no"
"13.67","1/31/2026","Food","Work Lunch","False","no"
"46.37","1/31/2026","Food","Other","False","no"
"24.95","1/31/2026","Food","Culver's","False","no"
"1,370.00","1/31/2026","Home","Rent","False","no"
"162.93","2/2/2026","Food","Grocery","False","no"
"42.50","2/2/2026","Subscriptions","Phone Bill","False","no"
"12.75","2/3/2026","Food","Work Lunch","False","no"
"4.10","2/4/2026","Subscriptions","Website","False","no"
"2.93","2/4/2026","Food","Soda pop","False","no"
"54.49","2/7/2026","Dates","Gift","False","no"
"36.69","2/7/2026","Food","Culver's","False","no"
"192.94","2/7/2026","Car","Maintenance","False","no"
"60.00","2/7/2026","Dates","Dinner","False","no"
"115.88","2/10/2026","Food","Grocery","False","no"
"12.75","2/10/2026","Food","Work Lunch","False","no"
"34.44","2/12/2026","Car","Gas","False","no"
"2.93","2/12/2026","Food","Soda pop","False","no"
"25.06","2/14/2026","Food","Culver's","False","no"
"2.93","2/14/2026","Food","Soda pop","False","no"
"43.29","2/14/2026","Dates","Gift","False","no"
"32.00","2/15/2026","Subscriptions","Gym","False","no"
"138.00","2/15/2026","Miscellaneous",,"False","no"
"128.52","2/16/2026","Food","Grocery","False","no"
"31.06","2/21/2026","Food","Culver's","False","no"
"14.83","2/21/2026","Food","Work Lunch","False","no"
"16.80","2/22/2026","Miscellaneous",,"False","no"
"60.60","2/22/2026","Dates","Friends","False","no"
"16.39","2/22/2026","Dates","Treat","False","no"
"7.94","2/22/2026","Food","Other","False","no"
"122.76","2/23/2026","Food","Grocery","False","no"
"2.10","2/25/2026","Food","Soda pop","False","no"
"11.94","2/26/2026","Food","Work Lunch","False","no"
"25.00","2/28/2026","Dates","Friends","False","no"
"17.36","2/28/2026","Dates","Friends","False","no"
"11.96","2/28/2026","Food","Other","False","no"
"65.00","2/28/2026","Miscellaneous",,"False","no"
"2.93","2/28/2026","Food","Soda pop","False","no"
"2.39","3/1/2026","Food","Soda pop","False","no"
"42.50","3/2/2026","Subscriptions","Phone Bill","False","no"
"45.00","3/2/2026","Miscellaneous","Household Items","False","no"
"123.40","3/2/2026","Food","Grocery","False","no"
"7.06","3/2/2026","Food","Other","False","no"
"8.58","3/3/2026","Food","Work Lunch","False","no"
"2.93","3/4/2026","Food","Soda pop","False","no"
"85.00","3/6/2026","Dates","Gift","False","no"
"90.36","3/6/2026","Dates","Gift","False","no"
"43.78","3/6/2026","Car","Gas","False","no"
"49.69","3/6/2026","Food","Grocery","False","no"
"3.10","3/10/2026","Food","Soda pop","False","no"
"25.95","3/10/2026","Food","Culver's","False","no"
"8.50","3/10/2026","Food","Work Lunch","False","no"
"40.13","3/10/2026","Food","Grocery","False","no"
"9.70","3/10/2026","Food","Work Lunch","False","no"
"2.93","3/10/2026","Food","Soda pop","False","no"
"4.65","3/14/2026","Dates","Treat","False","no"
"2.93","3/14/2026","Food","Soda pop","False","no"
"378.71","3/14/2026","Miscellaneous","Vacation","False","no"
"25.06","3/14/2026","Food","Culver's","False","no"
"80.00","3/14/2026","Food","Grocery","False","no"
"25.93","3/14/2026","Miscellaneous","Household Items","False","no"
"100.95","3/14/2026","Home","Home Insurance","False","no"
"11.66","3/16/2026","Food","Work Lunch","False","no"
"2.93","3/18/2026","Food","Soda pop","False","no"
"18.16","3/18/2026","Dates","Treat","False","no"
"4.99","3/18/2026","Subscriptions","Disney","False","no"
"32.00","3/18/2026","Subscriptions","Gym","False","no"
"83.58","3/18/2026","Food","Grocery","False","no"
"49.76","3/21/2026","Food","Grocery","False","no"
"23.84","3/23/2026","Miscellaneous","Household Items","False","no"
"65.45","3/23/2026","Dates","Dinner","False","no"
"12.75","3/23/2026","Food","Work Lunch","False","no"
"37.70","3/23/2026","Food","Grocery","False","no"
"86.33","3/23/2026","Food","Grocery","False","no"
"9.98","3/25/2026","Food","Work Lunch","False","no"
"2.93","3/25/2026","Food","Soda pop","False","no"
"1.90","3/27/2026","Miscellaneous","Tolls","False","no"
"2.93","3/27/2026","Food","Soda pop","False","no"
"1,300.00","3/27/2026","Investments",,"False","no"
"800.00","3/27/2026","Debt Payments",,"False","no"
"200.00","3/28/2026","Subscriptions","AI","False","no"
"1.90","3/29/2026","Miscellaneous","Tolls","False","no"
"41.18","3/29/2026","Car","Gas","False","no"
"202.50","3/29/2026","Miscellaneous","Church","False","no"
"2.39","3/29/2026","Food","Soda pop","False","no"
"8.83","3/29/2026","Food","Grocery","False","no"
"50.00","3/29/2026","Miscellaneous","Gift","False","no"
"12.75","3/30/2026","Food","Work Lunch","False","no"
"2.93","3/31/2026","Food","Soda pop","False","no"
"92.28","3/31/2026","Food","Grocery","False","no"
"16,600.00","3/31/2026","Home","Home Purchase","False","no"
"1,370.00","4/1/2026","Home","Rent","False","no"
"2.93","4/1/2026","Food","Soda pop","False","no"
"107.15","4/1/2026","Home","Improvements","False","no"
"42.50","4/5/2026","Subscriptions","Phone Bill","False","no"
"2.93","4/5/2026","Food","Soda pop","False","no"
"8.33","4/5/2026","Food","Work Lunch","False","no"
"42.55","4/5/2026","Food","Grocery","False","no"
"18.49","4/5/2026","Home","Improvements","False","no"
"14.09","4/5/2026","Food","Other","False","no"
"11.12","4/6/2026","Food","Work Lunch","False","no"
"90.14","4/7/2026","Food","Grocery","False","no"
"11.12","4/13/2026","Food","Work Lunch","False","no"
"2.93","4/13/2026","Food","Soda pop","False","no"
"13.19","4/13/2026","Food","Other","False","no"
"2.93","4/13/2026","Food","Soda pop","False","no"
"11.57","4/13/2026","Food","Work Lunch","False","no"
"31.06","4/13/2026","Food","Culver's","False","no"
"16.75","4/13/2026","Car","Gas","False","no"
"2.93","4/13/2026","Food","Soda pop","False","no"
"13.74","4/13/2026","Dates","Treat","False","no"
"74.14","4/13/2026","Home","Improvements","False","no"
"134.21","4/13/2026","Dates","Dinner","False","no"
"43.74","4/13/2026","Dates","Treat","False","no"
"65.39","4/13/2026","Miscellaneous",,"False","no"
"95.64","4/13/2026","Food","Grocery","False","no"
"4.99","4/13/2026","Subscriptions","Disney","False","no"
"44.00","4/13/2026","Miscellaneous","Clothes","False","no"
"16.80","4/13/2026","Miscellaneous",,"False","no"
"12.75","4/15/2026","Food","Work Lunch","False","no"
"218.00","4/15/2026","Miscellaneous","Clothes","False","no"
"21.09","4/15/2026","Food","Panda","False","no"
"32.00","4/15/2026","Subscriptions","Gym","False","no"
"189.37","4/15/2026","Home","Improvements","False","no"
"2.93","4/16/2026","Food","Soda pop","False","no"
"17.32","4/16/2026","Food","Grocery","False","no"
"51.44","4/16/2026","Car","Gas","False","no"
"24.72","4/22/2026","Food","Culver's","False","no"
"11.80","4/22/2026","Food","Work Lunch","False","no"
"2.93","4/22/2026","Food","Soda pop","False","no"
"3.17","4/22/2026","Food","Other","False","no"
"110.87","4/22/2026","Food","Grocery","False","no"
"2.93","4/23/2026","Food","Soda pop","False","no"
"700.00","4/25/2026","Investments","RothIRA","False","no"
"17.87","4/25/2026","Food","Work Lunch","False","no"
"25.06","4/25/2026","Food","Culver's","False","no"
"7.53","4/25/2026","Food","Other","False","no"
"166.66","4/25/2026","Home","Improvements","False","no"
"34.70","4/25/2026","Food","Grocery","False","no"
"750.00","4/25/2026","Debt Payments",,"False","no"
"68.82","4/27/2026","Dates","Dinner","False","no"
"87.16","4/27/2026","Home","Improvements","False","no"
"2.93","4/27/2026","Food","Soda pop","False","no"
"2.93","4/30/2026","Food","Soda pop","False","no"
"165.67","4/30/2026","Food","Grocery","False","no"
"2.93","4/30/2026","Food","Soda pop","False","no"
"50.00","4/30/2026","Dates","Gift","False","no"
"25.06","4/30/2026","Food","Culver's","False","no"
"2.93","5/2/2026","Food","Soda pop","False","no"
"42.48","5/3/2026","Dates","Dinner","False","no"
"25.06","5/3/2026","Food","Culver's","False","no"
"42.50","5/3/2026","Subscriptions","Phone Bill","False","no"
"12.86","5/3/2026","Food","Other","False","no"
"6.93","5/5/2026","Dates","Treat","False","no"
"2.93","5/9/2026","Food","Soda pop","False","no"
"2.93","5/9/2026","Food","Soda pop","False","no"
"22.24","5/9/2026","Dates","Dinner","False","no"
"39.00","5/9/2026","Food","Other","False","no"
"2.93","5/18/2026","Food","Soda pop","False","no"
"85.32","5/18/2026","Food","Grocery","False","no"
"3.80","5/18/2026","Miscellaneous","Tolls","False","no"
"11.35","5/18/2026","Food","Work Lunch","False","no"
"31.80","5/18/2026","Dates","Dinner","False","no"
"32.00","5/18/2026","Subscriptions","Gym","False","no"
"12.63","5/18/2026","Food","Work Lunch","False","no"
"632.91","5/18/2026","Home","Appliance","False","no"
"17.56","5/18/2026","Pet","Toys","False","no"
"4.99","5/18/2026","Subscriptions","Disney","False","no"
"58.86","5/18/2026","Miscellaneous","Clothes","False","no"
"25.51","5/18/2026","Food","Culver's","False","no"
"34.34","5/18/2026","Miscellaneous","Clothes","False","no"
"66.03","5/18/2026","Car","Gas","False","no"
"97.35","5/18/2026","Food","Grocery","False","no"
"2.14","5/18/2026","Food","Soda pop","False","no"
"12.31","5/18/2026","Food","Other","False","no"
"22.93","5/18/2026","Food","Grocery","False","no"
"24.06","5/19/2026","Food","Other","False","no"
"2.93","5/19/2026","Food","Soda pop","False","no"
"196.35","5/20/2026","Food","Grocery","False","no"
"11.66","5/21/2026","Food","Work Lunch","False","no"
"130.67","5/21/2026","Miscellaneous","Gym Equipment","False","no"
"136.38","5/24/2026","Home","Improvements","False","no"
"4.85","5/24/2026","Food","Other","False","no"
"2.93","5/24/2026","Food","Soda pop","False","no"
"31.50","5/24/2026","Food","Culver's","False","no"
"50.00","5/26/2026","Dates","Dinner","False","no"
"1,000.00","5/27/2026","Home","Mortgage","False","no"
"100.00","5/27/2026","Car","Insurance","False","no"
"3,120.00","5/28/2026","Debt Payments",,"False","no"
"13.90","5/31/2026","Food","Work Lunch","False","no"
"3.10","5/31/2026","Food","Soda pop","False","no"
"2.93","5/31/2026","Food","Soda pop","False","no"
"15.30","5/31/2026","Dates","Friends","False","no"
"31.50","5/31/2026","Food","Culver's","False","no"
"214.98","5/31/2026","Food","Grocery","False","no"
"2.93","6/2/2026","Food","Soda pop","False","no"
"42.50","6/2/2026","Subscriptions","Phone Bill","False","no"
"25.51","6/4/2026","Food","Culver's","False","no"
"50.00","6/6/2026","Dates","Dinner","False","no"
"250.00","6/7/2026","Miscellaneous",,"False","no"
"12.86","6/8/2026","Food","Other","False","no"
"528.87","6/9/2026","Miscellaneous","Vacation","False","no"
"26.94","6/13/2026","Miscellaneous",,"False","no"
"2.93","6/13/2026","Food","Soda pop","False","no"
"12.36","6/13/2026","Food","Work Lunch","False","no"
"2.93","6/13/2026","Food","Soda pop","False","no"
"25.51","6/13/2026","Food","Culver's","False","no"
"12.99","6/14/2026","Subscriptions","Disney","False","no"
"49.96","6/14/2026","Food","Grocery","False","no"
"32.00","6/24/2026","Subscriptions","Gym","False","no"
"71.77","6/24/2026","Car","Gas","False","no"
"497.28","6/24/2026","Miscellaneous","Vacation","False","no"
"1,000.00","6/29/2026","Home","Mortgage","False","no"
"100.00","6/29/2026","Car","Insurance","False","no"
"25.00","6/29/2026","Dates","Friends","False","no"
"3.60","6/29/2026","Miscellaneous","Tolls","False","no"
"2.17","6/29/2026","Food","Soda pop","False","no"
"1.59","6/29/2026","Food",,"False","no"
"21.75","6/29/2026","Dates","Friends","False","no"
"3.05","6/29/2026","Food","Soda pop","False","no"
"11.88","6/29/2026","Food","Work Lunch","False","no"
"12.05","6/29/2026","Food","Work Lunch","False","no"
"372.48","6/29/2026","Miscellaneous","Vacation","False","no"
"50.00","6/30/2026","Car","Gas","False","no"
"9.55","6/30/2026","Food","Work Lunch","False","no"
"138.59","7/1/2026","Food","Grocery","False","no"
